Ques Num,Question/Request,Response,Maturity,Additional Information,AUP Reference,ISO 27002:2013 Relevance,,SIG Tab
A.1,"Is there a risk assessment program that has been approved by management, communicated to constituents and an owner to maintain and review the program? if yes, does it include:",Yes,5,"An enterprise risk assessment is performed annually by the FactSet Security Committee.  This group, led by FactSet's Manager of Security Infrastructure, consists of members of FactSet's senior management and Board of Directors.  A review of the reputational and business risks happens annually by the FactSet Board of Directors.  These prioritized risks are fed into the enterprise risk assessment process. This process consists of:
• Review of regulatory requirements
• Gap analysis of the logical security controls in place against identified business risks and requirements
• Gap analysis of the capabilities, roles and physical security controls of each FactSet location against identified business risks and requirements
• Alignment and prioritization of all risks to business goals",A.1 IT & Infrastructure Risk Governance,5.1 6.1.2,"Leadership & Commitment, Information Security Risk Assessment",Risk Assessment
A.1.1,"A risk assessment, conducted within the last 12 months?",Yes,,,A.2 IT & Infrastructure Risk Assessment Life Cycle,8.2, Information security risk assessment,Risk Assessment
A.1.2,Risk Governance?,Yes,,,A.1 IT & Infrastructure Risk Governance,,,Risk Assessment
A.1.3,"Range of assets to include: people, processes, data and technology?",Yes,,,A.1 IT & Infrastructure Risk Governance,,,Risk Assessment
A.1.4,"Range of threats to include: malicious, natural, accidental, cyber, business changes (transaction volume)?",Yes,,,A.1 IT & Infrastructure Risk Governance,6.1.2,Information Security Risk Assessment,Risk Assessment
A.1.5,Risk scoping?,Yes,,,A.1 IT & Infrastructure Risk Governance,6.1.2,Information Security Risk Assessment,Risk Assessment
A.1.6,Risk context?,Yes,,,A.1 IT & Infrastructure Risk Governance,6.1.2,Information Security Risk Assessment,Risk Assessment
A.1.7,Risk training plan?,Yes,,,A.1 IT & Infrastructure Risk Governance,6.1.2,Information Security Risk Assessment,Risk Assessment
A.1.8,Risk evaluation criteria?,Yes,,,A.1 IT & Infrastructure Risk Governance,6.1.2,Information Security Risk Assessment,Risk Assessment
A.1.9,"Risk scenarios? If yes, do they include:",Yes,,,A.1 IT & Infrastructure Risk Governance,6.1.2,Information Security Risk Assessment,Risk Assessment
A.1.9.1,"Events and possible threats that could impact people, systems and facilities?",Yes,,,A.1 IT & Infrastructure Risk Governance,6.1.2,Information Security Risk Assessment,Risk Assessment
A.1.9.2,Threat types?,Yes,,,A.1 IT & Infrastructure Risk Governance,6.1.2,Information Security Risk Assessment,Risk Assessment
A.1.10,"Ownership, action plan, response plan, management update?",Yes,,,A.2 IT & Infrastructure Risk Assessment Life Cycle,6.1.2,Information Security Risk Assessment,Risk Assessment
A.2,"Is there a program to manage the treatment of risks identified during assessments? If yes, does it include:",Yes,5,"Risk ratings are assigned, documented and tracked via a custom portal as part of FactSet's Security Assurance processes.",A.2 IT & Infrastructure Risk Assessment Life Cycle,6.1.3,Information Security Risk treatment,Risk Assessment
A.2.1,A formal process for assigning appropriate management ownership for each risk?,Yes,,Please see A.2,A.2 IT & Infrastructure Risk Assessment Life Cycle,,,Risk Assessment
A.2.2,A formal process for appropriate management knowingly and objectively accepting risks and approving action plans?,Yes,,Certain exceptions are documented and accepted per FactSet's Risk Management program - others have remediation outcomes and targets.,A.2 IT & Infrastructure Risk Assessment Life Cycle,,,Risk Assessment
A.2.3,A formal process for tracking the status of action plans and reporting them to management?,Yes,,,A.2 IT & Infrastructure Risk Assessment Life Cycle,,,Risk Assessment
A.2.4,Controls identified for each material risk?,Yes,,,A.2 IT & Infrastructure Risk Assessment Life Cycle,,,Risk Assessment
A.2.5,"Measures for defining, monitoring, and reporting risk metrics? If yes, do the metrics include:",Yes,,,A.2 IT & Infrastructure Risk Assessment Life Cycle,,,Risk Assessment
A.2.5.1,Performance benchmarks?,Yes,,,,,,Risk Assessment
A.2.5.2,Service Level Agreement Compliance?,Yes,,,,,,Risk Assessment
A.2.5.3,Policy Compliance?,Yes,,,,,,Risk Assessment
