Tag,Question,Answer,Updated date,Answer provided by,Expiration Date
access control,"Are all system login screens configured to display a banner that warns the user that only authorized access is permitted, while at the same time does not provide information about the system they are logging into? For example, is there a banner that says only authorized users allowed and does not confirm or tell them they are attempting to login to an AS/400 or RACF-based security system?","This is in place for some, but not all systems",,,
access control,"Does your company disable default privileged accounts, such as ""root,"" ""admin,"" ""sa,""...and so on, to ensure they are not exploited to gain unauthorized access to information assets?",Privileged accounts granted based on role.  ,,,
access control,,"Only limited, named systems administrators have administrative access to operating systems, applications, hypervisors, network/storage gear, etc. – and all accesses are logged.  Standard access even for Systems Administrators is non-root.",,,
access control policy,copy of your Access Control Policy and process,Access is granted based on employee role.  FactSet server administrators grant access control under the scrutiny of the FactSet Security Team. FactSet does not make internal policies and procedures publicly available.,,,
"Access Control, ",Please explain who initiates and approves the access request prior to actual access granted by the Security team -Server admin.,Access to systems and resources is role-based.  Changes to this access list authorized by FactSet senior management with FactSet Security Team oversight.,,,
"access control, accounts,",Is there a dedicated team tasked with create/add/delete/modify of your network user accounts and assigning of all associated network access rights and privileges? ,"This is handled by the FactSet Systems Engineers, the  Security Team, and employee managers.",,,
"access control, authorization, system admin",Who authorizes access,FactSet server administrators grant access control under the scrutiny of the FactSet Security Team.,,,
"access control, employee management system, least privilege",How are your internal users (employees) granted access to your internal data/systems?,Employees are issued user IDs specific to the individual.  Employee access is granted based on their role and is audited.,,,
"access control, password policy","Does your company enforce a user account creation policy that restricts the re-use of user account IDs for terminated employees and contractors whose contract has expired or been terminated? For example, are such account IDs not able to be used for the 12 months following the date of termination?",Account IDs are only reused if an employee or contractor is rehired at a later date.  If employee or contractor is never rehired the Account ID is not reused.,,,
"access control, password policy, encryption","Does your company require all passwords, including those used for network, application, or other systems access, are stored in an encrypted form","This is true for all network, application and systems access where encrypted password technology is technically feasible and/or the system is able to integrate with centralized authentication systems.",,,
"Access Control, Review, access review","Access Control

The Service Provider will conduct a regular review of access rights to ensure that only current users with a requirement for access are registered.  Any users found to be not current must have their access rights revoked.

A report must be compiled for NAB detailing the result of the review detailing the number of users with current access rights and their level of access; and the number of users that had their access rights revoked, and made available to NAB upon request.",Procedures are in place to review employee access at least once per year. The accounts of privileged users are reviewed every six months. These procedures are in addition to the normal business workflows and processes that govern user access management.,,,
